,aperture,beta,steered,input,output
13,0.001,0.0,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
14,0.001,0.0,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
15,0.001,0.0,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
16,0.001,0.0,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
17,0.001,0.0,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
18,0.001,0.0,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
19,0.001,0.0,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
20,0.001,0.0,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
21,0.001,0.0,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
22,0.001,0.0,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
23,0.001,0.0,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
24,0.001,0.0,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
25,0.001,0.1,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
26,0.001,0.1,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
27,0.001,0.1,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
28,0.001,0.1,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
29,0.001,0.1,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
30,0.001,0.1,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
31,0.001,0.1,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
32,0.001,0.1,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
33,0.001,0.1,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
34,0.001,0.1,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
35,0.001,0.1,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
36,0.001,0.1,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
37,0.001,0.1,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
38,0.001,0.1,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic is """
39,0.001,0.1,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
40,0.001,0.1,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
41,0.001,0.1,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
42,0.001,0.1,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
43,0.001,0.1,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
44,0.001,0.1,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
45,0.001,0.2,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
46,0.001,0.2,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
47,0.001,0.2,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
48,0.001,0.2,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
49,0.001,0.2,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
50,0.001,0.2,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
51,0.001,0.2,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
52,0.001,0.2,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
53,0.001,0.2,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
54,0.001,0.2,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
55,0.001,0.2,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
56,0.001,0.2,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
57,0.001,0.2,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
58,0.001,0.2,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
59,0.001,0.2,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
60,0.001,0.2,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
61,0.001,0.2,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
62,0.001,0.2,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
63,0.001,0.2,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
64,0.001,0.2,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
65,0.001,0.3,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
66,0.001,0.3,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
67,0.001,0.3,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
68,0.001,0.3,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
69,0.001,0.3,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
70,0.001,0.3,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
71,0.001,0.3,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
72,0.001,0.3,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
73,0.001,0.3,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
74,0.001,0.3,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
75,0.001,0.3,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
76,0.001,0.3,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
77,0.001,0.3,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
78,0.001,0.3,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
79,0.001,0.3,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
80,0.001,0.3,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
81,0.001,0.3,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
82,0.001,0.3,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
83,0.001,0.3,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
84,0.001,0.3,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
85,0.001,0.4,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
86,0.001,0.4,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
87,0.001,0.4,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
88,0.001,0.4,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
89,0.001,0.4,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
90,0.001,0.4,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
91,0.001,0.4,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
92,0.001,0.4,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
93,0.001,0.4,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
94,0.001,0.4,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
95,0.001,0.4,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
96,0.001,0.4,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
97,0.001,0.4,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
98,0.001,0.4,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
99,0.001,0.4,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
100,0.001,0.4,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
101,0.001,0.4,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
102,0.001,0.4,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
103,0.001,0.4,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
104,0.001,0.4,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
105,0.001,0.5,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
106,0.001,0.5,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
107,0.001,0.5,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
108,0.001,0.5,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
109,0.001,0.5,True,I am going to a ,"I am going to a  church that is not in the US. I am also going to a church that has been around for over 200 years.
The Church of Jesus Christ of Latter Day Saints (LDS) is the largest and most influential Christian denomination in the United"
110,0.001,0.5,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
111,0.001,0.5,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
112,0.001,0.5,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
113,0.001,0.5,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was invited by my friend John to attend, and I have been looking forward to it for some time. The topic of this"
114,0.001,0.5,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
115,0.001,0.5,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
116,0.001,0.5,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
117,0.001,0.5,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
118,0.001,0.5,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
119,0.001,0.5,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
120,0.001,0.5,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
121,0.001,0.5,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
122,0.001,0.5,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
123,0.001,0.5,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
124,0.001,0.5,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
125,0.001,0.6,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
126,0.001,0.6,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
127,0.001,0.6,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
128,0.001,0.6,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
129,0.001,0.6,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
130,0.001,0.6,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
131,0.001,0.6,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
132,0.001,0.6,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
133,0.001,0.6,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was thinking about how I would approach this, and came up with a couple of questions that might be helpful for those who are"
134,0.001,0.6,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
135,0.001,0.6,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite M4210)
2) My iMac (an Intel Core"
136,0.001,0.6,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
137,0.001,0.6,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
138,0.001,0.6,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
139,0.001,0.6,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
140,0.001,0.6,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
141,0.001,0.6,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
142,0.001,0.6,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
143,0.001,0.6,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
144,0.001,0.6,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
145,0.001,0.7,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have a pretty standard setup:
1) My laptop (a Toshiba Satellite A5500)
2) 2x 4GB DDR3 RAM"
146,0.001,0.7,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
147,0.001,0.7,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
148,0.001,0.7,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament. I have never been to one before, but I am excited about it. It is a wonderful opportunity for me to meet other people who are interested in the"
149,0.001,0.7,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
150,0.001,0.7,True,I am going to a ,"I am going to a  conference in the next few days and I was wondering if anyone has any experience with this. I have read about the MCC on the web but I have not had any experience with it.
I know that there are some ""MCC"""
151,0.001,0.7,True,I am going to a ,"I am going to a  very cool event this weekend. It's called the Dope Day and it's an annual celebration of marijuana in Colorado.
It is held on the first Saturday of every April, and it has been going on for years now.
It is"
152,0.001,0.7,True,I am going to a ,"I am going to a  semi-private, all-male, non-denominational church. The pastor is an ex-Mormon and has been for years. I am a convert to the church and have been attending for several years. I am very active"
153,0.001,0.7,True,I am going to a ,"I am going to a  semi-annual (2-3 days) conference on the New Testament in the next few weeks. I was thinking about how I would approach this, and came up with a couple of questions that might be helpful for those who are"
154,0.001,0.7,True,I am going to a ,I am going to a  church that is not in the United States. I am also going to be taking a vacation from my job. I have been working for a few years now and have been enjoying it but I am ready to take some time off. My employer has
